tm,watts,visibility,dewPoint,humidity,temperature,pressure,cloudCover,windSpeed,precipIntensity,precipProbability
2016-01-01 00:00:00,1.6002280677339185,10.0,24.54,0.63,36.0,1016.61,,7.94,0.0,0.0
2016-01-01 01:00:00,1.3701142105299706,10.0,24.15,0.62,35.73,1015.99,0.75,8.01,0.0,0.0
2016-01-01 02:00:00,1.3326508893827496,10.0,23.8,0.62,35.35,1015.83,,7.52,0.0,0.0
2016-01-01 03:00:00,1.3358466934660815,10.0,23.93,0.63,35.19,1015.82,,5.76,0.0,0.0
2016-01-01 04:00:00,1.354708170075585,10.0,24.11,0.63,35.33,1015.6,,7.18,0.0,0.0
2016-01-01 05:00:00,1.4220181773923977,10.0,24.12,0.64,35.04,1015.36,0.0,6.02,0.0,0.0
2016-01-01 06:00:00,1.461963481965643,10.0,24.24,0.65,34.69,1015.34,0.0,6.45,0.0,0.0
2016-01-01 07:00:00,1.4494660599416669,10.0,24.17,0.65,34.72,1015.5,0.6,5.55,0.0,0.0
2016-01-01 08:00:00,1.5466919005856719,10.0,24.56,0.66,34.75,1015.42,0.31,6.05,0.0,0.0
2016-01-01 09:00:00,1.7194049244637417,10.0,24.61,0.64,35.46,1015.55,,5.99,0.0,0.0
2016-01-01 10:00:00,1.770782582843275,10.0,24.66,0.62,36.45,1015.52,,6.34,0.0,0.0
2016-01-01 11:00:00,1.9022220687092106,10.0,24.75,0.62,36.66,1014.95,0.31,7.9,0.0014,0.03
2016-01-01 12:00:00,1.7945259015630117,10.0,23.82,0.58,37.07,1014.05,,10.05,0.0,0.0
2016-01-01 13:00:00,1.8379568372302628,10.0,23.59,0.58,36.94,1013.27,1.0,9.17,0.0,0.0
2016-01-01 14:00:00,1.6387090180314328,10.0,23.64,0.58,36.98,1012.66,,7.28,0.0,0.0
2016-01-01 15:00:00,1.819284018032748,9.24,23.76,0.6,36.41,1012.35,,6.98,0.0,0.0
2016-01-01 16:00:00,1.696534449322076,9.85,23.94,0.62,35.65,1012.32,,7.93,0.0,0.0
2016-01-01 17:00:00,1.7877237280748537,8.7,25.11,0.68,34.56,1012.45,0.31,7.4,0.0025,0.07
2016-01-01 18:00:00,1.9355975828460534,8.9,25.17,0.71,33.61,1012.76,,7.1,0.0025,0.07
2016-01-01 19:00:00,1.9170316642318705,8.21,24.68,0.72,32.77,1013.35,0.54,8.61,0.0,0.0
2016-01-01 20:00:00,1.8392987743649127,9.9,23.09,0.69,32.25,1013.47,0.19,8.25,0.0,0.0
2016-01-01 21:00:00,1.841462207598978,10.0,20.21,0.63,31.3,1013.6,0.17,8.28,0.0,0.0
2016-01-01 22:00:00,1.7734529093514626,10.0,18.76,0.61,30.61,1013.55,0.21,8.36,0.0,0.0
2016-01-01 23:00:00,1.7548453435688591,10.0,17.93,0.6,30.04,1013.74,0.17,8.65,0.0,0.0
2016-01-02 00:00:00,1.6967358674463455,10.0,17.66,0.61,29.6,1013.91,0.2,7.85,0.0,0.0
2016-01-02 01:00:00,1.7133848659903512,10.0,17.38,0.6,29.38,1013.97,0.23,8.21,0.0,0.0
2016-01-02 02:00:00,1.6273372855757304,10.0,17.58,0.63,28.53,1014.04,0.12,8.1,0.0,0.0
2016-01-02 03:00:00,1.6658418908435673,9.89,17.98,0.63,29.15,1014.13,0.22,7.74,0.0,0.0
2016-01-02 04:00:00,1.5422178167600875,10.0,18.41,0.64,29.14,1013.91,0.12,6.71,0.0,0.0
2016-01-02 05:00:00,1.603080397172807,10.0,18.87,0.66,28.96,1014.08,0.31,7.46,0.0,0.0
2016-01-02 06:00:00,1.6065718713426902,9.95,18.81,0.65,28.94,1014.47,0.31,6.69,0.0,0.0
2016-01-02 07:00:00,1.6212873927877194,10.0,18.4,0.65,28.71,1014.91,0.28,6.84,0.0,0.0
2016-01-02 08:00:00,1.6848932577983917,10.0,17.89,0.64,28.67,1015.26,0.21,8.23,0.0,0.0
2016-01-02 09:00:00,1.8665931627675438,10.0,17.63,0.58,30.68,1015.7,0.13,8.26,0.0,0.0
2016-01-02 10:00:00,1.9009415886940064,10.0,17.5,0.54,32.12,1016.0,0.12,9.91,0.0,0.0
2016-01-02 11:00:00,2.035628715882602,10.0,17.38,0.51,33.41,1015.61,0.28,10.38,0.0,0.0
2016-01-02 12:00:00,1.7321551145242682,10.0,17.46,0.49,34.84,1014.57,0.18,10.55,0.0,0.0
2016-01-02 13:00:00,1.7791822953263154,10.0,17.42,0.48,35.26,1014.1,0.31,11.68,0.0,0.0
2016-01-02 14:00:00,1.6710975584824561,10.0,17.46,0.47,35.75,1013.51,0.21,9.97,0.0,0.0
2016-01-02 15:00:00,1.6647960648195907,10.0,18.03,0.5,34.72,1013.55,0.22,11.31,0.0,0.0
2016-01-02 16:00:00,1.7313643153036558,10.0,18.27,0.52,34.04,1013.89,0.18,8.75,0.0,0.0
2016-01-02 17:00:00,1.7920676023387432,10.0,18.84,0.55,33.21,1013.93,0.09,6.94,0.0,0.0
2016-01-02 18:00:00,1.9085091837263155,10.0,19.31,0.57,32.8,1013.87,0.0,6.56,0.0,0.0
2016-01-02 19:00:00,1.8476277656016078,10.0,19.35,0.58,32.65,1014.17,0.65,6.53,0.0,0.0
2016-01-02 20:00:00,1.740148642788743,10.0,19.7,0.59,32.49,1014.05,0.31,6.3,0.0,0.0
2016-01-02 21:00:00,1.753739217839035,10.0,19.58,0.58,32.72,1013.7,,7.04,0.0,0.0
2016-01-02 22:00:00,1.7695622465897658,10.0,19.78,0.59,32.66,1012.82,,6.73,0.0,0.0
2016-01-02 23:00:00,1.6784871783622812,10.0,19.68,0.6,32.1,1012.31,,6.94,0.0,0.0
2016-01-03 00:00:00,1.751702470766082,10.0,19.92,0.61,31.7,1011.85,0.31,6.31,0.0,0.0
2016-01-03 01:00:00,1.534716730018421,10.0,19.96,0.63,31.09,1011.42,0.33,7.23,0.0,0.0
